ema_emotion,accuracy,correct_streak,wrong_streak,prev_difficulty,next_difficulty
2.695,1.0,1,0,1,1
3.23,1.0,2,0,1,1
3.711,0,0,0,1,2
3.918,1.0,1,0,2,2
3.801,1.0,2,0,2,2
3.967,0,0,0,1,2
3.995,0.0,0,1,2,2
3.977,0.0,0,2,2,2
3.999,1.0,1,0,2,2
3.873,1.0,2,0,1,1
3.845,0,0,0,1,2
3.868,1.0,1,0,1,1
3.696,1.0,2,0,1,1
3.869,0,0,0,1,2
3.959,1.0,1,0,2,2
3.726,1.0,2,0,2,2
3.976,0,0,0,2,3
3.858,1.0,1,0,2,2
3.762,1.0,2,0,2,2
3.24,1.0,1,0,1.0,1.2068147659301758
3.138,1.0,2,0,1.2068147659301758,1.1141796112060547
3.487,1.0,3,0,1.1141796112060547,1.0449974536895752
3.547,1.0,4,0,1.0449974536895752,1.0129975080490112
3.858,1.0,5,0,1.0129975080490112,1.0322500467300415
3.841,1.0,6,0,1.0322500467300415,1.0334223508834839
3.212,1.0,7,0,1.0334223508834839,1.0057399272918701
3.535,1.0,8,0,1.0057399272918701,1.1030128002166748
2.724,1.0,9,0,1.1030128002166748,1.0188442468643188
3.484,1.0,10,0,1.0188442468643188,1.198827862739563
3.882,1.0,11,0,1.198827862739563,1.3886271715164185
3.97,1.0,12,0,1.3886271715164185,1.5117194652557373
3.345,1.0,13,0,1.5117194652557373,1.4085599184036255
3.196,1.0,14,0,1.4085599184036255,1.3618834018707275
3.125,1.0,15,0,1.3618834018707275,1.3531715869903564
3.904,1.0,16,0,1.3531715869903564,1.5832264423370361
3.755,1.0,17,0,1.5832264423370361,1.6385842561721802
3.298,1.0,18,0,1.6385842561721802,1.5431139469146729
3.567,1.0,19,0,1.5431139469146729,1.6170318126678467
3.249,1.0,20,0,1.6170318126678467,1.5542817115783691
3.332,1.0,21,0,1.5542817115783691,1.5793869495391846
3.367,1.0,22,0,1.5793869495391846,1.6135435104370117
3.519,1.0,23,0,1.6135435104370117,1.6866182088851929
3.581,1.0,24,0,1.6866182088851929,1.7427819967269897
3.172,1.0,25,0,1.7427819967269897,1.6627395153045654
3.266,1.0,26,0,1.6627395153045654,1.686646580696106
2.602,1.0,27,0,1.686646580696106,1.5435559749603271
2.583,1.0,28,0,1.5435559749603271,1.5300588607788086
2.436,1.0,29,0,1.5300588607788086,1.5204453468322754
2.367,1.0,30,0,1.5204453468322754,1.5299657583236694
1.888,1.0,31,0,1.5299657583236694,1.4484094381332397
2.537,1.0,32,0,1.4484094381332397,1.6074877977371216
3.085,1.0,33,0,1.6074877977371216,1.805091142654419
3.825,1.0,34,0,1.805091142654419,2.058007001876831
