Skor Akhir,50

Emosi,Persentase
Netral,48.11%
Marah,51.89%
Skor Akhir,110

Emosi,Persentase
Netral,43.52%
Marah,54.47%
Cemas,1.15%
Senang,0.86%
================================
Skor Akhir,130

Emosi,Persentase
Marah,12.75%
Netral,70.25%
Senang,17.00%
================================
Skor Akhir,150

Emosi,Persentase
Netral,99.76%
Marah,0.24%
================================
Skor Akhir,90

Emosi,Persentase
Netral,87.52%
Marah,4.26%
Senang,5.18%
Sedih,1.22%
Cemas,0.30%
Terkejut,1.52%
================================
Skor Akhir,60

Emosi,Persentase
Marah,7.14%
Netral,91.92%
Cemas,0.38%
Senang,0.19%
Sedih,0.38%
